17.7284,0.0586997,-1.5653,-4.43501e-11,7.51239e-07,2.76141e-05
17.7284,0.0586997,-1.5653,5.05054e-07,1.89786e-08,2.54384e-05
17.7284,0.0586996,-1.5653,3.99231e-06,-4.97614e-06,8.24616e-06
17.7284,0.0586995,-1.5653,1.33118e-05,-1.833e-05,-3.84749e-05
17.7284,0.0586992,-1.5653,3.11719e-05,-4.39592e-05,-0.000128695
17.7284,0.0586986,-1.5653,6.01416e-05,-8.56035e-05,-0.000275851
17.7284,0.0586975,-1.5653,0.000102653,-0.000146829,-0.000492855
17.7284,0.0586956,-1.56531,0.000161005,-0.000231031,-0.0007921
17.7284,0.0586928,-1.56532,0.000237364,-0.000341438,-0.00118547
17.7284,0.0586887,-1.56533,0.000333767,-0.00048111,-0.00168436
17.7284,0.058683,-1.56535,0.000452124,-0.000652947,-0.00229966
17.7284,0.0586755,-1.56538,0.000594222,-0.00085969,-0.00304177
17.7284,0.0586657,-1.56541,0.000761724,-0.00110392,-0.00392064
17.7284,0.0586533,-1.56546,0.000956175,-0.00138807,-0.00494574
17.7284,0.0586378,-1.56551,0.001179,-0.00171441,-0.00612606
17.7284,0.0586188,-1.56558,0.00143152,-0.00208508,-0.00747016
17.7284,0.0585959,-1.56566,0.00171493,-0.00250205,-0.00898617
17.7285,0.0585686,-1.56576,0.00203031,-0.00296717,-0.0106818
17.7285,0.0585364,-1.56588,0.00237866,-0.00348213,-0.0125642
17.7285,0.0584988,-1.56601,0.00276085,-0.0040485,-0.0146402
17.7285,0.0584553,-1.56617,0.00317765,-0.0046677,-0.0169164
17.7286,0.0584053,-1.56635,0.00362973,-0.00534102,-0.0193986
17.7286,0.0583483,-1.56656,0.00411767,-0.00606962,-0.0220925
17.7287,0.0582837,-1.56679,0.00464195,-0.00685454,-0.0250033
17.7287,0.058211,-1.56706,0.00520295,-0.0076967,-0.0281359
17.7288,0.0581296,-1.56736,0.00580096,-0.00859686,-0.0314948
17.7288,0.0580389,-1.56769,0.00643618,-0.00955572,-0.0350839
17.7289,0.0579383,-1.56806,0.00710873,-0.0105738,-0.0389072
