50,50,0.7854,0,0,0
50,50,0.7854,0,0,-0.0001
50.0001,50,0.7854,0.0001,0.0001,-0.0004
50.0003,50.0001,0.7854,0.0004,0.0002,-0.0015
50.0009,50.0004,0.7854,0.0009,0.0004,-0.0034
50.0021,50.001,0.7853,0.0016,0.0008,-0.0064
50.0043,50.0021,0.7852,0.0028,0.0013,-0.0107
50.0078,50.0037,0.7851,0.0043,0.002,-0.0165
50.0131,50.0061,0.7849,0.0063,0.0028,-0.0239
50.0206,50.0094,0.7846,0.0089,0.0039,-0.033
50.031,50.0139,0.7842,0.0119,0.0051,-0.0438
50.0447,50.0196,0.7837,0.0156,0.0064,-0.0565
50.0624,50.0268,0.7831,0.0199,0.008,-0.071
50.0846,50.0357,0.7823,0.0248,0.0097,-0.0874
50.1122,50.0462,0.7813,0.0304,0.0115,-0.1056
50.1456,50.0587,0.7802,0.0366,0.0135,-0.1256
50.1856,50.0733,0.7788,0.0436,0.0156,-0.1473
50.233,50.0899,0.7772,0.0513,0.0177,-0.1707
50.2884,50.1088,0.7754,0.0597,0.02,-0.1957
50.3526,50.1299,0.7733,0.0688,0.0223,-0.2222
50.4262,50.1534,0.771,0.0787,0.0246,-0.2501
50.5101,50.1792,0.7683,0.0892,0.027,-0.2793
50.605,50.2073,0.7654,0.1006,0.0293,-0.3096
50.7115,50.2377,0.7621,0.1126,0.0316,-0.341
50.8304,50.2704,0.7585,0.1253,0.0338,-0.3731
50.9623,50.3053,0.7546,0.1387,0.036,-0.406
51.1081,50.3423,0.7504,0.1529,0.038,-0.4395
51.2683,50.3813,0.7459,0.1676,0.0399,-0.4733
51.4436,50.4221,0.741,0.1831,0.0417,-0.5074
51.6346,50.4646,0.7357,0.1991,0.0433,-0.5416
51.8421,50.5086,0.7301,0.2158,0.0447,-0.5756
52.0664,50.5539,0.7242,0.233,0.0459,-0.6094
52.3083,50.6004,0.7179,0.2508,0.0469,-0.6428
52.5683,50.6478,0.7113,0.2692,0.0477,-0.6756
52.8468,50.6958,0.7044,0.288,0.0483,-0.7076
53.1444,50.7442,0.6972,0.3073,0.0485,-0.7387
53.4615,50.7928,0.6897,0.327,0.0486,-0.7688
53.7986,50.8412,0.6818,0.3472,0.0483,-0.7976
54.1559,50.8893,0.6737,0.3677,0.0478,-0.8251
54.534,50.9368,0.6653,0.3885,0.047,-0.8511
54.9331,50.9833,0.6567,0.4097,0.046,-0.8755
55.3535,51.0286,0.6478,0.4311,0.0446,-0.8981
55.7954,51.0724,0.6387,0.4528,0.043,-0.9189
56.2592,51.1145,0.6294,0.4747,0.0412,-0.9377
56.7448,51.1547,0.62,0.4967,0.0391,-0.9543
57.2526,51.1926,0.6104,0.5189,0.0367,-0.9688
57.7826,51.228,0.6006,0.5411,0.0341,-0.9811
58.3348,51.2607,0.5908,0.5634,0.0313,-0.991
58.9094,51.2906,0.5808,0.5857,0.0284,-0.9985
59.5062,51.3174,0.5708,0.608,0.0252,-1.0035
60.1254,51.341,0.5607,0.6302,0.0219,-1.006
60.7667,51.3612,0.5507,0.6524,0.0185,-1.006
61.4301,51.378,0.5406,0.6744,0.015,-1.0034
62.1154,51.3912,0.5306,0.6962,0.0114,-0.9983
62.8225,51.4008,0.5207,0.7179,0.0078,-0.9905
63.551,51.4068,0.5108,0.7393,0.0042,-0.9801
64.3009,51.4092,0.5011,0.7604,0.0006,-0.9672
65.0717,51.408,0.4915,0.7812,-0.0029,-0.9518
65.8632,51.4033,0.4821,0.8017,-0.0064,-0.9338
66.675,51.3953,0.4728,0.8218,-0.0097,-0.9134
67.5068,51.3841,0.4638,0.8416,-0.0128,-0.8905
68.358,51.3698,0.455,0.8608,-0.0157,-0.8654
69.2283,51.3528,0.4465,0.8797,-0.0183,-0.838
70.1172,51.3332,0.4383,0.898,-0.0207,-0.8084
71.0241,51.3115,0.4303,0.9158,-0.0227,-0.7767
71.9487,51.288,0.4227,0.9331,-0.0243,-0.7431
72.8902,51.2631,0.4155,0.9498,-0.0255,-0.7076
73.8482,51.2371,0.4086,0.966,-0.0262,-0.6703
74.822,51.2107,0.4021,0.9815,-0.0265,-0.6315
75.8109,51.1844,0.396,0.9964,-0.0262,-0.5911
76.8145,51.1586,0.3903,1.0106,-0.0253,-0.5495
77.832,51.134,0.385,1.0242,-0.0238,-0.5066
78.8626,51.1113,0.3801,1.0371,-0.0216,-0.4628
79.017,51.1081,0.3794,1.0389,-0.0212,-0.4562
80.062,51.0883,0.3751,1.051,-0.0183,-0.4113
81.1187,51.0718,0.3712,1.0623,-0.0146,-0.3657
82.1864,51.0594,0.3678,1.073,-0.0101,-0.3194
83.2644,51.0519,0.3648,1.0828,-0.0048,-0.2727
84.3519,51.0501,0.3623,1.092,0.0013,-0.2256
85.4481,51.0549,0.3603,1.1003,0.0084,-0.1784
86.5523,51.0672,0.3588,1.108,0.0164,-0.1311
87.6637,51.0879,0.3577,1.1148,0.0253,-0.0838
88.7816,51.1181,0.3571,1.1209,0.0352,-0.0369
89.9053,51.1586,0.357,1.1262,0.0461,0.0097
91.0338,51.2106,0.3573,1.1308,0.058,0.0557
92.1666,51.275,0.3581,1.1346,0.071,0.101
93.3027,51.3529,0.3593,1.1376,0.085,0.1454
94.4415,51.4454,0.361,1.1399,0.1,0.1888
95.5823,51.5534,0.3631,1.1415,0.1162,0.231
96.7242,51.678,0.3656,1.1423,0.1333,0.272
97.8667,51.8204,0.3685,1.1424,0.1515,0.3114
99.0088,51.9814,0.3718,1.1418,0.1708,0.3494
100.1501,52.1623,0.3755,1.1405,0.1911,0.3856
