px,py,pq,vx,vy,vq
0.727389,-0.646364,0.601842,-0.121133,0.0940566,0.955244
0.726173,-0.64542,0.611432,-0.122099,0.0948065,0.96286
0.724947,-0.644468,0.621099,-0.123058,0.0955511,0.970422
0.723712,-0.643509,0.630841,-0.12401,0.0962904,0.977931
0.722467,-0.642542,0.640657,-0.124955,0.0970244,0.985385
0.721213,-0.641568,0.650548,-0.125894,0.0977532,0.992787
0.719949,-0.640587,0.660513,-0.126825,0.0984767,1.00013
0.718676,-0.639599,0.670551,-0.12775,0.0991949,1.00743
0.717394,-0.638603,0.680661,-0.128668,0.0999078,1.01467
0.716103,-0.637601,0.690844,-0.12958,0.100615,1.02186
0.714803,-0.636591,0.701098,-0.130484,0.101318,1.02899
0.713493,-0.635575,0.711423,-0.131382,0.102015,1.03607
0.712175,-0.634551,0.721819,-0.132273,0.102707,1.04309
0.710848,-0.63352,0.732285,-0.133157,0.103393,1.05007
0.709512,-0.632483,0.74282,-0.134035,0.104074,1.05699
0.708167,-0.631439,0.753425,-0.134905,0.10475,1.06385
0.706814,-0.630388,0.764097,-0.135769,0.105421,1.07066
0.705452,-0.629331,0.774838,-0.136626,0.106087,1.07742
0.704081,-0.628266,0.785645,-0.137476,0.106747,1.08412
0.702702,-0.627196,0.79652,-0.138319,0.107402,1.09078
0.701315,-0.626118,0.807461,-0.139156,0.108051,1.09737
0.699919,-0.625035,0.818467,-0.139986,0.108695,1.10392
0.698515,-0.623944,0.829539,-0.140809,0.109334,1.11041
0.697103,-0.622848,0.840675,-0.141625,0.109968,1.11684
0.695683,-0.621745,0.851876,-0.142434,0.110597,1.12323
0.694254,-0.620636,0.86314,-0.143237,0.11122,1.12955
0.692818,-0.619521,0.874467,-0.144033,0.111838,1.13583
0.691374,-0.618399,0.885856,-0.144822,0.11245,1.14205
0.689922,-0.617272,0.897307,-0.145604,0.113058,1.14822
0.688462,-0.616138,0.90882,-0.146379,0.11366,1.15433
0.686994,-0.614999,0.920394,-0.147148,0.114257,1.1604
0.685519,-0.613853,0.932028,-0.14791,0.114848,1.1664
0.684036,-0.612702,0.943722,-0.148665,0.115434,1.17236
0.682546,-0.611544,0.955475,-0.149413,0.116015,1.17826
0.681048,-0.610381,0.967287,-0.150154,0.116591,1.1841
0.679542,-0.609213,0.979157,-0.150889,0.117161,1.1899
0.67803,-0.608038,0.991085,-0.151617,0.117726,1.19564
0.67651,-0.606858,1.00307,-0.152338,0.118286,1.20132
0.674983,-0.605672,1.01511,-0.153052,0.118841,1.20695
0.673449,-0.604481,1.02721,-0.153759,0.11939,1.21253
0.671908,-0.603285,1.03936,-0.15446,0.119934,1.21806
0.67036,-0.602083,1.05157,-0.155154,0.120473,1.22353
0.668805,-0.600875,1.06383,-0.155841,0.121006,1.22895
0.667243,-0.599662,1.07615,-0.156521,0.121534,1.23431
0.665675,-0.598445,1.08852,-0.157194,0.122057,1.23962
0.664099,-0.597221,1.10094,-0.157861,0.122575,1.24488
0.662517,-0.595993,1.11342,-0.158521,0.123087,1.25008
0.660929,-0.59476,1.12594,-0.159174,0.123594,1.25523
0.659334,-0.593521,1.13852,-0.15982,0.124096,1.26033
0.657733,-0.592278,1.15115,-0.160459,0.124593,1.26537
0.656125,-0.591029,1.16383,-0.161092,0.125084,1.27036
0.654511,-0.589776,1.17656,-0.161718,0.12557,1.27529
0.65289,-0.588518,1.18933,-0.162337,0.12605,1.28018
0.651264,-0.587255,1.20216,-0.162949,0.126526,1.285
0.649631,-0.585987,1.21503,-0.163555,0.126996,1.28978
0.647993,-0.584715,1.22795,-0.164153,0.127461,1.2945
0.646348,-0.583438,1.24092,-0.164745,0.12792,1.29917
0.644698,-0.582157,1.25394,-0.16533,0.128375,1.30378
0.643042,-0.580871,1.267,-0.165908,0.128824,1.30834
0.64138,-0.57958,1.2801,-0.16648,0.129267,1.31285
0.639712,-0.578285,1.29325,-0.167044,0.129706,1.3173
0.638039,-0.576986,1.30645,-0.167602,0.130139,1.3217
0.63636,-0.575683,1.31969,-0.168153,0.130567,1.32604
0.634676,-0.574375,1.33297,-0.168698,0.130989,1.33034
0.632986,-0.573063,1.34629,-0.169235,0.131407,1.33457
0.631291,-0.571747,1.35966,-0.169766,0.131819,1.33876
0.629591,-0.570427,1.37307,-0.17029,0.132225,1.34289
0.627886,-0.569102,1.38652,-0.170807,0.132627,1.34697
0.626175,-0.567774,1.40001,-0.171317,0.133023,1.35099
0.624459,-0.566442,1.41354,-0.17182,0.133414,1.35496
0.622739,-0.565106,1.42711,-0.172317,0.1338,1.35888
0.621013,-0.563766,1.44072,-0.172807,0.13418,1.36274
0.619282,-0.562422,1.45436,-0.17329,0.134555,1.36655
0.617547,-0.561075,1.46805,-0.173766,0.134925,1.37031
0.615807,-0.559724,1.48177,-0.174236,0.13529,1.37401
0.614062,-0.558369,1.49553,-0.174698,0.135649,1.37766
0.612313,-0.557011,1.50932,-0.175154,0.136003,1.38125
0.610559,-0.555649,1.52315,-0.175603,0.136351,1.38479
0.608801,-0.554284,1.53702,-0.176046,0.136695,1.38828
0.607039,-0.552915,1.55092,-0.176481,0.137033,1.39172
0.605272,-0.551543,1.56485,-0.17691,0.137366,1.3951
0.6035,-0.550168,1.57882,-0.177332,0.137693,1.39842
0.601725,-0.548789,1.59282,-0.177747,0.138016,1.4017
0.599945,-0.547407,1.60685,-0.178155,0.138333,1.40492
0.598162,-0.546023,1.62092,-0.178557,0.138645,1.40808
0.596374,-0.544635,1.63501,-0.178951,0.138951,1.41119
0.594583,-0.543244,1.64914,-0.179339,0.139252,1.41425
0.592788,-0.54185,1.6633,-0.17972,0.139548,1.41726
0.590988,-0.540453,1.67749,-0.180095,0.139839,1.42021
0.589186,-0.539053,1.6917,-0.180462,0.140124,1.42311
0.587379,-0.53765,1.70595,-0.180823,0.140404,1.42595
0.585569,-0.536245,1.72022,-0.181177,0.140679,1.42874
0.583756,-0.534837,1.73452,-0.181524,0.140949,1.43148
0.581939,-0.533426,1.74885,-0.181864,0.141213,1.43416
