200.0463,281.9806,1.5685,0.0002,0.0078,-0.0009
200.0465,281.9884,1.5685,0.0002,0.0079,-0.0009
200.0467,281.9967,1.5685,0.0002,0.0087,-0.001
200.0469,282.0063,1.5685,0.0002,0.0108,-0.0013
200.0471,282.0189,1.5685,0.0003,0.0148,-0.0017
200.0475,282.0366,1.5685,0.0004,0.0209,-0.0025
200.048,282.0616,1.5684,0.0005,0.0296,-0.0036
200.0486,282.0968,1.5684,0.0007,0.0413,-0.0051
200.0494,282.1452,1.5683,0.001,0.056,-0.0069
200.0505,282.2099,1.5683,0.0012,0.0739,-0.0092
200.0519,282.2942,1.5682,0.0016,0.0953,-0.012
200.0536,282.4015,1.568,0.0019,0.12,-0.0153
200.0558,282.5353,1.5678,0.0023,0.1481,-0.019
200.0583,282.6988,1.5676,0.0028,0.1795,-0.0233
200.0613,282.8954,1.5674,0.0033,0.2143,-0.028
200.0649,283.1284,1.5671,0.0038,0.2522,-0.0333
200.0689,283.4008,1.5667,0.0043,0.2931,-0.039
200.0735,283.7155,1.5663,0.0049,0.3368,-0.0452
200.0786,284.0753,1.5658,0.0054,0.3832,-0.052
200.0843,284.4827,1.5652,0.006,0.432,-0.0592
200.0905,284.94,1.5646,0.0065,0.4829,-0.0668
200.0974,285.4492,1.5639,0.0071,0.5358,-0.0749
200.1047,286.0122,1.5631,0.0076,0.5904,-0.0834
200.1126,286.6304,1.5622,0.0081,0.6463,-0.0923
200.1209,287.3051,1.5613,0.0086,0.7033,-0.1016
200.1298,288.0373,1.5602,0.009,0.7612,-0.1113
200.139,288.8278,1.559,0.0094,0.8197,-0.1213
200.1485,289.6768,1.5578,0.0097,0.8784,-0.1316
200.1584,290.5845,1.5564,0.01,0.9371,-0.1422
200.1685,291.5508,1.5549,0.0102,0.9955,-0.1531
200.1787,292.5754,1.5533,0.0103,1.0534,-0.1643
200.189,293.6575,1.5517,0.0103,1.1106,-0.1756
200.1993,294.7962,1.5498,0.0102,1.1667,-0.1872
200.2095,295.9903,1.5479,0.0101,1.2215,-0.199
200.2194,297.2386,1.5459,0.0098,1.2748,-0.2109
200.2291,298.5394,1.5437,0.0094,1.3265,-0.223
200.2383,299.891,1.5414,0.009,1.3763,-0.2353
200.2469,301.2913,1.539,0.0084,1.424,-0.2476
200.255,302.7383,1.5364,0.0076,1.4695,-0.26
200.2622,304.2296,1.5338,0.0068,1.5127,-0.2726
200.2685,305.7629,1.531,0.0058,1.5534,-0.2852
200.2738,307.3356,1.5281,0.0047,1.5915,-0.2978
200.2779,308.945,1.525,0.0035,1.6269,-0.3106
200.2759,309.0974,1.5247,0.0033,1.6318,-0.3125
200.2785,310.7455,1.5215,0.0019,1.664,-0.3253
200.2797,312.4244,1.5182,0.0004,1.6934,-0.3381
200.2793,314.1314,1.5147,-0.0012,1.72,-0.3509
200.2772,315.8636,1.5111,-0.003,1.7439,-0.3637
200.2732,317.6182,1.5074,-0.0049,1.7649,-0.3765
200.2674,319.3925,1.5036,-0.0068,1.7832,-0.3893
200.2595,321.1837,1.4996,-0.0089,1.7988,-0.4021
